"","beta1.1","beta1.2","beta1.3","beta1.4","beta2.1","beta2.2","beta2.3","beta2.4","beta3","v0.01","v0.02","v0.03","v0.04","v0.05","v0.06","v0.07","v0.08","v0.09","v0.1","v0.11","v0.12","v0.13","v0.14","v0.15","v0.16","v0.17","v0.18","v0.19","v0.2","v1.01","v1.02","v1.03","v1.04","v1.05","v1.06","v1.07","v1.08","v1.09","v1.1","v1.11","v1.12","v1.13","v1.14","v1.15","v1.16","v1.17","v1.18","v1.19","v1.2","v1.21","v1.22","v1.23","v1.24","v1.25","v1.26","v1.27","v1.28","v1.29","v1.3","v1.31","v1.32","v1.33","v1.34","v1.35","v1.36","v1.37","v1.38","v1.39","v1.4","v1.41","v1.42","v1.43","v1.44","v1.45","v1.46","v1.47","v1.48","v1.49","v1.5","v1.51","v1.52","v1.53","v1.54","v1.55","v1.56","v1.57","v1.58","v1.59","v1.6","v1.61","v1.62","v1.63","v1.64","v1.65","v1.66","v1.67","v1.68","v1.69","v1.7","v1.71","v1.72","v1.73","v1.74","v1.75","v1.76","v1.77","v1.78","v1.79","v1.8","session_ID","trial_ID"
1,-0.325205404280448,-0.0490732218327899,-0.336392428199795,-0.367730976205138,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.325205404280448,-0.0490732218327899,-0.336392428199795,-0.367730976205138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14
1,-0.300982214687725,0.246462111533805,0.958235715067368,0.605530807933637,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.300982214687725,0.246462111533805,0.958235715067368,0.605530807933637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17
1,-0.354600467281799,-0.211975619529947,0.0248457484750581,0.469267606607132,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.354600467281799,-0.211975619529947,0.0248457484750581,0.469267606607132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18
1,-0.179022995651756,-0.656505426974902,-0.438413751372687,-0.190471992527697,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179022995651756,-0.656505426974902,-0.438413751372687,-0.190471992527697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19
1,0.239217083462519,-0.376926658334114,0.950990173991446,-0.611033121460206,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239217083462519,-0.376926658334114,0.950990173991446,-0.611033121460206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20
1,-0.32870300790334,-0.419321500870063,0.768476315275842,1.20389932349118,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.32870300790334,-0.419321500870063,0.768476315275842,1.20389932349118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21
1,0.759689047662091,-0.139545871119203,0.131965830960693,-0.840331257304795,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759689047662091,-0.139545871119203,0.131965830960693,-0.840331257304795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22
1,0.149790403356702,-0.0857272020343652,0.367250511745259,0.647702941820058,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149790403356702,-0.0857272020343652,0.367250511745259,0.647702941820058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
1,0.0567654390951996,0.0733526315731239,-0.728856946774809,-0.872881083606756,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567654390951996,0.0733526315731239,-0.728856946774809,-0.872881083606756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24
1,0.668600916276445,-0.542889688374583,0.355287508638178,-0.583412751391784,-0.239530379759409,-0.141389622168664,0.11750113345531,0.0689472620028728,0.400995439117069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668600916276445,-0.542889688374583,0.355287508638178,-0.583412751391784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25
